movieName,name,year,rating,genre,image,summary
tt0070959,State of Siege ,1972,7.8,"Crime,Drama,Mystery,8 February 1973 (France)
","https://m.media-amazon.com/images/M/MV5BMTA2M2UyZGUtYjgyMy00N2IzLWJkODgtODliMmUxZmVlZGI4XkEyXkFqcGdeQXVyNjkxNjg3ODg@._V1_UY268_CR8,0,182,268_AL_.jpg","
                    Using the interrogation of a US counterinsurgency agent as a backdrop, the film explores the consequences of the struggle between Uruguay's government and the leftist Tupamaro guerrillas.
            "
tt0096332,The Unbearable Lightness of Being ,1988,7.3,"Drama,Romance,5 February 1988 (USA)
","https://m.media-amazon.com/images/M/MV5BNzE2NWU4YzEtZTU4NC00NDE0LTlhOTktMjUwMWJiYzAwZjI0XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    In 1968, a Czech doctor with an active sex life meets a woman who wants monogamy, and then the Soviet invasion further disrupts their lives.
            "
tt0117589,Secrets & Lies ,1996,8.0,"Comedy,Drama,28 February 1997 (USA)
","https://m.media-amazon.com/images/M/MV5BY2QzMTIxNjItNGQyNy00MjQzLWJiYTItMzIyZjdkYjYyYjRlXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    A successful black woman discovers that her birth mother is an underprivileged white woman, but the woman denies it. As emotions run high, everyone's secrets are exposed.
            "
tt0190897,The All-New Popeye Hour             ,,7.1,"Animation,Short,Adventure,TV Series (1978–1983)
","https://m.media-amazon.com/images/M/MV5BMTMwMDY1MDg4NV5BMl5BanBnXkFtZTcwNDQ5NjYxMQ@@._V1_UY268_CR8,0,182,268_AL_.jpg","
                    The new adventures of Popeye the Sailor Man and his friends.
            "
tt0330501,Ju-on: The Curse 2 ,2000,6.1,"Horror,Mystery,1 April 2004 (Thailand)
","https://m.media-amazon.com/images/M/MV5BYzhkOGI0MzUtMjA4NS00ZTRkLThiNDgtNDM1MzhkNzg3YTBkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    On his request, the sensitive sister of a real estate agent visits a house he intends to put on sell, only to cross paths with its resident curse.
            "
tt0309395,The Brooklyn Boys ,2002,5.4,"Crime,Drama,2 April 2002 (USA)
","https://m.media-amazon.com/images/M/MV5BMjA4NzY5ODU0OF5BMl5BanBnXkFtZTcwNjcwMTcyMQ@@._V1_UY268_CR5,0,182,268_AL_.jpg","
                    "
tt0071198,The Bat People ,1974,2.5,"Horror,Romance,30 January 1974 (USA)
","https://m.media-amazon.com/images/M/MV5BZWM3ZGUyZWEtMjQ0OS00ZjJlLTkzNjktMjBjM2E1MzI0N2JlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    After being bitten by a bat in a cave, a doctor undergoes an accelerating transformation into a man-bat, which ruins his vacation and causes considerable distress for his wife.
            "
tt0477640,1st Bite ,2006,4.1,"Comedy,Drama,Fantasy,2006 (Canada)
","https://m.media-amazon.com/images/M/MV5BMjY1NzMyNDQxM15BMl5BanBnXkFtZTgwNzg2MDA2MDE@._V1_UY268_CR9,0,182,268_AL_.jpg","
                    Set on a tropical island in Thailand, the strange plight of a beleaguered chef who, while romancing a mysterious woman, discovers the diabolical Zen of cooking. Following a near death ...
                    "
tt0212533,The Spring ,2000,5.4,"Drama,Sci-Fi,TV Movie 16 January 2000
","https://m.media-amazon.com/images/M/MV5BMjQ1MTUxNjA5M15BMl5BanBnXkFtZTcwMDYyNzAwMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg","
                    A man and his son stumble onto a modern-day fountain of youth while camping in the woods.
            "
tt0044364,Another Man's Poison ,1951,6.9,"Crime,Drama,Film-Noir,6 January 1952 (USA)
","https://m.media-amazon.com/images/M/MV5BMjk5NTM0Njg4Ml5BMl5BanBnXkFtZTgwMzI0OTgwMzE@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    A mystery writer becomes involved in a tangled web of murderous deception not unlike the plots of her novels.
            "
